Book,Chapter,Verse,GenZ,Norm
Genesis,11,2,"So basically, at first, the earth was a hot mess. It didn't have any structure or anything, just emptiness and darkness all around. But then, the Spirit of God started doing its thing, cruising over the oceans.","And the earth was without form, and void; and darkness {was} upon the face of the deep. And the Spirit of God moved upon the face of the waters."
Genesis,11,3,"Then God was like, 'Yo, let there be light,' and boom, there was light.","And God said, Let there be light: and there was light."
Genesis,11,4,"And God was like, 'Yo, this light is lit!' So, God separated the light from the darkness. Like, He made sure they don't mix, you know?","And God saw the light, that {it was} good: and God divided the light from the darkness. {the light from...: Heb. between the light and between the darkness}"
Genesis,11,5,"So, like, God named the light as Day and the darkness as Night. And, you know, that whole cycle of evening and morning, it marked the first day. It's like, just to clarify, the evening came, and then the morning came, and that's how the first day went down.","And God called the light Day, and the darkness he called Night. And the evening and the morning were the first day. {And the evening...: Heb. And the evening was, and the morning was etc.}"
Genesis,11,6,"And God was like, yo, there should be, like, this cool layer between the water, separating it from more water. And like, this layer is actually called the 'expansion'.","And God said, Let there be a firmament in the midst of the waters, and let it divide the waters from the waters. {firmament: Heb. expansion}"
Genesis,11,7,"And then God created, like, this super cool, massive sky thing, and He split up the water below it from the water above it. And guess what? It totally happened, just like that!","And God made the firmament, and divided the waters which {were} under the firmament from the waters which {were} above the firmament: and it was so."
Genesis,11,8,"So God named the sky Heaven. And it became the second day after the evening and morning passed. {And the evening...: Hebrew text clarifies that the evening came and the morning came, marking a new day.}","And God called the firmament Heaven. And the evening and the morning were the second day. {And the evening...: Heb. And the evening was, and the morning was etc.}"
Genesis,11,9,"And God was like, yo, let's bring all the water together in one place and make some solid ground, and just like that, it happened.","And God said, Let the waters under the heaven be gathered together unto one place, and let the dry {land} appear: and it was so."
Genesis,11,10,"And God was like, 'Yo, let's name that solid ground Earth,' and the whole watery party He called Seas. And you know what? God thought it was all pretty lit.",And God called the dry {land} Earth; and the gathering together of the waters called he Seas: and God saw that {it was} good.
Genesis,11,11,"And God was all like, yo, let the earth do its thing and grow some sick grass, and some dope herbs that bring forth seeds, and also some lit fruit trees that produce fruit after their kind, with seeds in themselves, all up in the earth. And guess what? Boom! It happened, just like that. (By the way, 'grass' in Hebrew means some really fresh and tender grass, just FYI.)","And God said, Let the earth bring forth grass, the herb yielding seed, {and} the fruit tree yielding fruit after his kind, whose seed {is} in itself, upon the earth: and it was so. {grass: Heb. tender grass}"
Genesis,11,12,"And then, like, the earth totally grew some awesome grass and plants that had seeds of their own. Oh, and there were these cool trees that grew yummy fruits with seeds too! And God was like, 'Yo, that's super good!'","And the earth brought forth grass, {and} herb yielding seed after his kind, and the tree yielding fruit, whose seed {was} in itself, after his kind: and God saw that {it was} good."
Genesis,11,13,"So, like, the third day came to an end and a new day began. It's like, you know, the evening turned into morning. Just to clarify, when I say 'evening' I mean the start of the day and when I say 'morning' I mean the end of the day, you feel me?","And the evening and the morning were the third day. {And the evening...: Heb. And the evening was, and the morning was etc.}"
Genesis,11,14,"And God was like, 'Yo, we need some lights up in the sky to separate the day from the night. They'll be there as signs and to mark the seasons, days, and years, ya know? It's like the perfect balance between day and night!","And God said, Let there be lights in the firmament of the heaven to divide the day from the night; and let them be for signs, and for seasons, and for days, and years: {the day...: Heb. between the day and between the night}"
Genesis,11,15,"And, like, God made these things called stars and stuff in the sky to, like, give light to the earth. And, bro, it totally happened. No lie.",And let them be for lights in the firmament of the heaven to give light upon the earth: and it was so.
Genesis,11,16,"And God created two awesome sources of light: one super bright light to be in charge of the day, and another not-so-bright light to be in charge of the night. Oh, and He also made all those cool stars! #dayandnightvibes","And God made two great lights; the greater light to rule the day, and the lesser light to rule the night: {he made} the stars also. {to rule the day...: Heb. for the rule of the day, etc.}"
Genesis,11,17,"Yo, God placed those celestial bodies up in the sky to illuminate the earth.","And God set them in the firmament of the heaven to give light upon the earth,"
Genesis,11,18,"And like, to have power over the day and the night, and to separate the light from the darkness. And God was like, 'Yo, that's lit!'","And to rule over the day and over the night, and to divide the light from the darkness: and God saw that {it was} good."
Genesis,11,19,"And then there was the fourth day, with its evening and morning. You know, like when the sun sets and then rises again. Pretty cool, right? (By the way, the Hebrew version says basically the same thing but in a different way, just so you know)","And the evening and the morning were the fourth day. {And the evening...: Heb. And the evening was, and the morning was etc.}"
Genesis,11,20,"And God was like, yo, it's time for the waters to be filled with all sorts of dope creatures that have life, and birds that can soar high up in the sky, in that wide-open space above the earth. By the way, when I say 'moving creatures,' I mean the ones that crawl or whatever. And when I say lifee,' I mean those creatures with souls. And when I say 'birds,' I mean the ones that are good at flying. And when I say 'wide-open space,' I mean the face of that cool firmament in the sky.","And God said, Let the waters bring forth abundantly the moving creature that hath life, and fowl {that} may fly above the earth in the open firmament of heaven. {moving: or, creeping} {life: Heb. soul} {fowl...: Heb. let fowl fly} {open...: Heb. face of the firmament of heaven}"
Genesis,11,21,"And yo, God made these dope whales and every livin' creature that be movin', which be poppin' outta the waters in mad numbers, each one accord'n to its kind, and all them flyin' birds accord'n to their kind too: and God peeped that it was all good, ya heard?","And God created great whales, and every living creature that moveth, which the waters brought forth abundantly, after their kind, and every winged fowl after his kind: and God saw that {it was} good."
Genesis,11,22,"And God was like, yo fam, I got you! Blessing all of y'all, He was like, go forth and prosper, make yourselves  fruitful and multiply like crazy, dominate the oceans with all kinds of fish, and let the birds go wild and multiply all over the land.","And God blessed them, saying, Be fruitful, and multiply, and fill the waters in the seas, and let fowl multiply in the earth."
Genesis,11,23,"And like, the evening and the morning vibes were totally on point, it was the lit fifth day. {And the evening...: Heb. And the evening was, and the morning was etc.}","And the evening and the morning were the fifth day. {And the evening...: Heb. And the evening was, and the morning was etc.}"
Genesis,11,24,"And God was like, 'Yo, earth! Time to bring out the living creatures, like, each one according to their own kind: cattle, creepy crawlies, and all the beasts of the land.' And guess what? It totally happened, just like that.","And God said, Let the earth bring forth the living creature after his kind, cattle, and creeping thing, and beast of the earth after his kind: and it was so."
Genesis,11,25,"And God created all the animals on the earth, like, totally each according to its own kind, you know? The wild beasts, the farm animals, and even all the creeping things, all unique and special in their own way. And when God looked at everything He made, He was like, 'That's good, man!'","And God made the beast of the earth after his kind, and cattle after their kind, and every thing that creepeth upon the earth after his kind: and God saw that {it was} good."
Genesis,11,26,"Yo, God was like, 'Check it, let's make humans look and act like us, and let them be in charge of the fish in the ocean, the birds in the sky, all the animals on land, and everything that crawls on the ground.'","And God said, Let us make man in our image, after our likeness: and let them have dominion over the fish of the sea, and over the fowl of the air, and over the cattle, and over all the earth, and over every creeping thing that creepeth upon the earth."
Genesis,11,27,"God was like, 'Yo, I'm gonna make humans just like me, you know? So he made them in his image. And get this, he made them both male and female. Double the awesomeness!","So God created man in his {own} image, in the image of God created he him; male and female created he them."
Genesis,11,28,"And God straight up blessed them, and He was all like, 'Yo, be productive and reproduce like crazy, and fill up the earth with your peeps. Oh, and you got the power to control the fish in the sea, birds in the sky, and basically any living thing that's roaming around. You got this!'","And God blessed them, and God said unto them, Be fruitful, and multiply, and replenish the earth, and subdue it: and have dominion over the fish of the sea, and over the fowl of the air, and over every living thing that moveth upon the earth. {moveth: Heb. creepeth}"
Genesis,11,29,"Yo, peep this: God's like, 'Check it, I hooked you up with all the plants that have seeds on the planet, and every tree with fruit that has seeds too. You can eat 'em all, they're your grub. For real!","And God said, Behold, I have given you every herb bearing seed, which {is} upon the face of all the earth, and every tree, in the which {is} the fruit of a tree yielding seed; to you it shall be for meat. {bearing...: Heb. seeding seed} {yielding...: Heb. seeding seed}"
