slang,meaning
Addy,Abbreviation for Address.
AF,An acronym that stands for As f**k.
Amirite,"An informal way to say “am I right,” used to seek agreement after making a statement."
Amped,Excited
And I oop,"Used to express surprise, shock, or realization, often in response to something unexpected or amusing. "
Ate and left no crumbs,Refers to someone who did something so well that there’s no chance for anyone else to do it better.
Aura,"Like the traditional definition, it is used to compliment someone’s ability, perceived power, or sense of coolness and mystery. It became popular in soccer and basketball communities on Twitter in 2023 so it is often used to compliment athletes."
Bae,Boyfriend or girlfriend.
Bandwagon,Someone who takes an interest in something just to fit in with the crowd.
Basic,"Someone who is unoriginal and only interested in popular, trending things."
BBG,"An acronym that stands for baby girl, describing something or someone cute. It can also stand for: Better be going, a polite way to end a conversation. "
BDE,"An acronym that stands for: Big dick energy, someone who is secure and exudes confidence without arrogance."
Bed rot,"Spending extended periods of time in bed, often engaging in activities like watching TV or reading."
Beige flag,"Used humorously to refer to a situation that is mundane, uninteresting, or lacking excitement."
Bet,"In agreement with something, or used for okay or affirmative."
Body count,The number of sexual partners someone has had.
Boomer/Okay Boomer,"A dismissive retort used to mock the opinions, ideas, or attitudes of older individuals, particularly members of the Baby Boomer generation."
Boujee,"Rich, luxurious, fancy"
Brat,"A term coined by singer Charlie XCX in a tweet, “brat” describes a person (often female) who is genuine, self-possessed, non-conforming, with a rebellious streak. It is represented by a florescent, chartreuse green, which symbolizes making a statement. "
Bussin’,Something is really good.
Buttah,"A compliment that describes something that is smooth, easy, and good. "
Cap,Lying or faking.
Cash,Awesome or cool.
Catch feels,Develop romantic or emotional attachment to someone.
Caught in 4k,Someone caught in the act of something compromising.
Chad,"A stereotypical, confident, dominant male. Often used humorously and with negative connotations. "
Chat,"Used to refer to a group of people, like friends or people in their class."
Cheugy,"Someone or something that is out-of-date, unfashionable, or trying too hard."
Clapback,A sharp and witty response to criticism or an insult.
Cooked,"Something or someone that is done, exhausted, or doomed. "
Cray cray,Short for crazy.
Cringe,A feeling of embarrassment and discomfort.
Crossfaded,Being drunk and high at the same time.
Dank,"Excellent, high quality."
Dap,"A gesture of greeting or expression of admiration between two people performed with hands, similar to a low-five and handshake."
Dayroom,Something or someone that is basic and uninteresting.
Dead/Dying/Ded,A response to something really funny.
Delulu,"Abbreviation for Delusional. Someone who has unrealistic or irrational beliefs, and is disconnected from reality."
Dip,To leave suddenly or early.
DL,"An acronym that stands for: Down low, referring to an activity or information that is meant to be kept discreet."
Dope,Something that is exceptional or awesome.
Dox,"To seek out and publish private information online about someone, usually with malicious intentions. "
Drag,To mock or humiliate someone.
Drip,Sophisticated or stylish in appearance.
DTF,An acronym that stands for Down to f**k. Indicates a person’s willingness to engage in sexual activity.
Dub,"Short for W, meaning win or winner."
Egirl/Eboy,"Frequently found on TikTok, it’s someone who has adopted an edgy style including a blushed nose, heavy eyeliner, and little hearts under the eyes."
Extra,Attention grabbing or dramatic.
Facts,Emphasizes agreement of something that is accurate or true.
Faded,Being under the influence of marijuana.
Fan service," Elements added to an entertainment piece that is a subtle nod to avid fans, like an inside joke that other viewers won’t understand. Also known as easter eggs."
FBOI,"Abbreviation for F**kboy. A derogatory term used to describe a promiscuous, manipulative, and disrespectful man."
FFA,"Free for all, in a multi-player video game all players must fend for themselves."
Finna,"Abbreviation for fixing to or going to."
Finsta,"A combination of the words “fake” and “Instagram.” Refers to a secondary or private Instagram account that users create to share content with a smaller, more selective audience."
Fire, "Amazing or exciting"
Fit,An outfit.
Flavored air,Vaping.
Flex,To flaunt or brag about something.
FML,"F**k my life, often used at the conclusion of a negative story."
FR,"An acronym that means: For real, to agree with someone."
FRFR,Abbreviation for: for real for real. A way to emphasize sincerity or seriousness.
FTW,An acronym that means: For the win. An enthusiastic emphasis to express approval or support.
Fuhuhluhtoogan,"Someone who is good in bed. The word is credited to Baltimore rapper, Richard Webster (rap name Bippleyipsnipp), and became popular on TikTok in late 2023. "
Fugly,"F***ing ugly, or extremely ugly."
Furry,"A person who is a fan of anthropomorphic animals (animals with human characteristics), or someone who dresses up to resemble the animal."
FW,"An acronym for, “F**k With,” that is used to express that someone really likes something or someone."
FYP,Refers to TikTok’s “For You Page” that’s filled with recommended content and videos personalized for the viewer.
G,A term of endearment for friends.
Gassing,"Exaggerating someone else’s abilities, accomplishments, or qualities."
GG,"An acronym that stands for: Good game, used to acknowledge a player’s skill at the end of multiplayer video games."
Ghost,Cutting off communication with someone with no explanation.
Girl math,Used in a lighthearted or humorous way when someone calculated things in a way that might not follow conventional rules.
Giving me life,Something or someone that is exciting.
Glow-up,A major transformation in appearance in a way that is generally perceived as attractive.
GOAT,"An acronym that stands for: Greatest of all time, praising someone for being the best. A variation of GOAT is “goated,” as in, “keep winning like that and you’re going to get goated!”"
Granola,"A person who is environmentally aware, and enjoys the outdoors."
Guap,A large sum of money.
Gucci,"Fancy, fashionable, or excellent."
Gyat,"Abbreviation for girl your a** is thick, and also godd**n. A way to express admiration and excitement, usually about someone’s backside."
Hammered,Extremely intoxicated from alcohol or drugs.
Heated,Angry or frustrated.
Heem,"A better version of something, the total package."
Hella Skrilla,To have a large sum of money.
Here for this,"Excited about something, showing support."
High key,"Something that is overt, obvious, or done with a high level of intensity. "
Highlighter kid,A young child who wears neon colored clothes.
Hits different,"Something that is special, unique, or causes a strong emotional reaction that is difficult to articulate."
Hollywood,A negative change in behavior in someone who achieves success and looks down on their past life.
Hop off,An expression used to tell someone to stop bothering or annoying another.
Hot take,A strongly worded and often controversial opinion on a current event or popular topic.
Hype,"Excited, or something is good."
Ick,A feeling of disgust towards someone or something.
ICYMI,An acronym that stands for: In case you missed it.
IRL,An acronym that stands for In real life. Used to distinguish between online and offline interactions.
ISO,"An acronym that stands for In search of. Used in online forums, classified ads, or social media posts to indicate that someone is looking for a specific item, service, or information."
IYKYK,"An acronym that stands for: If you know, you know. Indicates insider knowledge or a shared experience between a group of people."
